price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url
81500000.0,1.0,KANAL,Lahore,Dha Defe,House,5.0,6.0,2020.0,4.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_ultra_modern_design_house_for_sale_in_dha_phase_6-53004762-1448-1.html
77500000.0,1.0,KANAL,Lahore,Dha Defe,House,5.0,6.0,2020.0,4.0,2026.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_8_1_kanal_brand_new_ultra_modern_design_house_for_sale_in_dha_phase_8-53004831-1451-1.html
38000000.0,10.0,Marla,Lahore,Sabzazar Scheme,House,5.0,6.0,2020.0,2.0,0.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_sabzazar_scheme_10_marla_house_for_sale_golden_chance_for_investors_near_to_orange_train_station_near_to_all_opportunities-53629736-562-1.html
23000000.0,3.5,Marla,Lahore,Sabzazar Scheme,House,5.0,6.0,2020.0,3.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_sabzazar_scheme_3_5_marla_spanish_brand_new_house_for_sale_in_hot_location_near_to_orange_line_station-52549565-562-1.html
24200000.0,5.0,Marla,Lahore,Sabzazar Scheme,House,4.0,5.0,2020.0,0.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_sabzazar_scheme_5_marla_like_a_new_house_for_sale_in_sabzazar_hot_location_walking_distance_to_main_fori_rabta_keray-53542801-562-1.html
20000000.0,5.0,Marla,Lahore,Other,House,5.0,6.0,2020.0,1.0,2.0,0.0,0.0,2029.0,https://www.zameen.com/Property/college_road_eden_boulevard_housing_scheme_5_marla_brand_new_house-53610527-12447-1.html
52500000.0,1.0,kanal,Lahore,Other,House,4.0,5.0,2020.0,0.0,1.0,1.0,2.0,0.0,https://www.zameen.com/Property/punjab_govt_employees_society_pgechs_phase_2_1_kanal_house_for_sale-54080501-4432-1.html
92500000.0,1.0,Kanal,Lahore,Dha Defe,House,6.0,6.0,2020.0,4.0,2024.0,2024.0,2024.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_magnificent_designer_house_for_sale-51662636-1448-1.html
95500000.0,1.0,Kanal,Lahore,Dha Defe,House,5.0,6.0,2020.0,4.0,2.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_exclusive_1_kanal_modern_masterpiece_full_basement_swimming_pool_prime_dha_phase_7-52353337-1450-1.html
16000000.0,5.0,Marla,Lahore,Park Vie,House,2.0,3.0,2020.0,0.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/park_view_city_park_view_city_-_crystal_block_brand_new_5_marla_house_available_in_park_view_city-53541985-17960-1.html
27000000.0,5.0,Marla,Lahore,Dha Defe,House,3.0,4.0,2020.0,2026.0,0.0,0.0,2026.0,0.0,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_ultra_modern_luxury_house_for_sale_dha_phase_9_town-54031842-1452-1.html
24000000.0,5.0,Marla,Lahore,Dha Defe,House,3.0,4.0,2020.0,2.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_9_town_prime_location_5_marla_house_for_sale_in_beautiful_dha_9_town_-_top_of_the_line-53982204-1452-1.html
