price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url,area_marla,property_age,total_rooms,luxury_score,bedroom_bathroom_ratio,location_avg_price
48000000,10.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,2.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/gt_road_bismillah_housing_scheme_10_marla_modren_design_house_for_sale-54002937-8446-1.html,10.0,6.0,2035.0,2028.0,1.2499968750078125,37411065.57377049
41000000,1688.0,Square Feet,Lahore,Other,House,6.0,6.0,2020.0,0.0,0.0,1.0,2.0,0.0,https://www.zameen.com/Property/faisal_town_faisal_town_-_block_d_a_1688_square_feet_house_has_landed_on_market_in_faisal_town_-_block_d_of_lahore-54234204-3759-1.html,6.2,6.0,15.0,0.0,0.9999983333361112,37411065.57377049
44000000,10.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,0.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/nawab_town_nawab_town_-_block_d_buying_a_house_in_nawab_town_-_block_d_lahore-54062530-14884-1.html,10.0,6.0,12.0,1.0,0.9999980000040001,37411065.57377049
61000000,1.0,Kanal,Lahore,Formanites Scheme,House,6.0,6.0,2020.0,3.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_m_centrally_located_prime_location_house_in_formanites_housing_scheme_-_block_m_is_available_for_sale-51805883-3785-1.html,20.0,6.0,12.0,4.0,0.9999983333361112,26700000.0
12500000,3.0,Marla,Lahore,Formanites Scheme,House,6.0,6.0,2020.0,0.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_formanites_housing_scheme_3_beds_3_marla_brand_new_luxury_house_for_sale_in_formanites_housing_scheme_lahore-51887175-1020-1.html,3.0,6.0,14.0,1.0,0.9999983333361112,26700000.0
12000000,3.0,Marla,Lahore,Formanites Scheme,House,3.0,4.0,2020.0,3.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_formanites_housing_scheme_3_beds_3_marla_brand_new_luxury_house_for_sale_in_formanites_housing_scheme_lahore-52045419-1020-1.html,3.0,6.0,9.0,4.0,1.3333288889037036,26700000.0
41500000,10.0,Marla,Lahore,Formanites Scheme,House,3.0,4.0,2020.0,2.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_m_ready_to_sale_a_prime_location_house_10_marla_in_formanites_housing_scheme_-_block_m_lahore-54136621-3785-1.html,10.0,6.0,9.0,3.0,1.3333288889037036,26700000.0
39000000,10.0,Marla,Lahore,Formanites Scheme,House,5.0,5.0,2020.0,2.0,1.0,1.0,2.0,0.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_n_this_is_your_chance_to_buy_prime_location_house_in_formanites_housing_scheme_-_block_n-54136622-3786-1.html,10.0,6.0,13.0,3.0,0.9999980000040001,26700000.0
44000000,10.0,Marla,Lahore,Formanites Scheme,House,5.0,5.0,2020.0,2.0,0.0,0.0,2.0,2.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_i_10_marla_house_is_available_for_sale_in_formanites_housing_scheme_block_i_lahore-54136625-3781-1.html,10.0,6.0,12.0,4.0,0.9999980000040001,26700000.0
20000000,5.0,Marla,Lahore,Park View City,House,5.0,6.0,2020.0,5.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-54239173-1466-1.html,5.0,6.0,11.0,6.0,1.1999976000048,21882758.620689657
